grid_id,latitude,longitude,building_count,yellow_building_count,building_density,yellow_building_density,total_building_density,main_road_density,local_road_density,total_road_density,waterbody,water_percent,empty
47812,28.7570598,77.2701132,69,3,13.96,0.32,14.28,10.49,14.1,24.59,0,0.0,61.13
26564,28.5971604,77.1350054,25,9,24.15,13.84,37.99,3.94,12.81,16.75,0,0.0,45.260000000000005
5335,28.437261,77.0387922,33,13,8.8,3.82,12.62,0.38,18.61,18.99,0,0.0,68.39
21160,28.5558381,77.2783016,39,8,25.96,4.53,30.49,0.05,16.16,16.21,0,0.0,53.3
9651,28.4696002,77.104299,42,4,20.82,2.48,23.3,4.5,16.61,21.11,0,0.0,55.59
22790,28.5684144,77.2046064,15,8,12.57,28.12,40.69,3.58,14.38,17.96,0,0.0,41.35
44390,28.7319071,77.0858752,45,13,18.55,6.12,24.67,5.06,17.1,22.16,0,0.0,53.17
48697,28.7642463,77.1329583,14,1,67.22,3.01,70.23,0.33,9.19,9.52,0,0.0,20.25
44667,28.7337037,77.1657117,37,14,48.95,7.81,56.760000000000005,0.0,8.77,8.77,0,0.0,34.47
1291,28.4067184,77.0428864,8,6,2.24,5.87,8.11,16.49,18.2,34.69,0,0.0,57.2
46328,28.74628,77.1554763,137,9,24.52,1.73,26.25,0.0,17.06,17.06,0,0.0,56.690000000000005
9751,28.4696002,77.3090079,42,4,36.76,1.79,38.55,0.36,15.79,16.15,0,0.0,45.3
36403,28.6708219,77.3008195,74,14,29.0,4.79,33.79,0.39,13.41,13.8,0,0.0,52.41
44456,28.7319071,77.2209831,64,10,34.34,3.58,37.92,0.72,13.5,14.22,0,0.0,47.86
31889,28.6366861,77.3171962,22,2,25.69,7.55,33.24,0.23,21.42,21.65,0,0.0,45.11
26997,28.6007536,77.0469806,15,5,9.35,7.61,16.96,5.73,18.55,24.28,0,0.0,58.76
31964,28.6384827,76.9835208,51,2,56.55,0.38,56.93,1.5,13.24,14.74,0,0.0,28.330000000000013
19249,28.5414651,77.2639719,31,22,19.91,7.31,27.22,2.74,14.88,17.62,0,0.0,55.16
48464,28.7624496,77.1431937,74,9,30.96,5.27,36.23,0.15,13.25,13.4,0,0.0,50.370000000000005
22309,28.5648212,77.1943709,35,11,43.18,9.75,52.93,1.09,11.67,12.76,0,0.0,34.31
40728,28.7049577,76.8975431,40,4,16.94,2.56,19.5,0.43,20.19,20.62,0,0.0,59.88
36321,28.6708219,77.1329583,22,14,15.89,17.48,33.370000000000005,6.66,15.08,21.74,0,0.0,44.89
5352,28.437261,77.0735927,55,8,28.7,7.94,36.64,0.67,16.15,16.82,0,0.0,46.540000000000006
25351,28.5881773,77.0879223,83,13,29.82,4.59,34.41,0.08,13.21,13.29,0,0.0,52.3
13967,28.5019394,77.1698059,35,10,16.12,6.74,22.86,6.96,13.8,20.76,0,0.0,56.38
25298,28.5881773,76.9794266,88,4,42.68,1.52,44.2,0.0,13.96,13.96,0,0.0,41.84
31304,28.6330928,77.0940636,20,23,20.19,9.52,29.71,0.42,14.05,14.47,0,0.0,55.81999999999999
37759,28.6816016,77.1534292,15,7,37.6,11.18,48.78,7.35,12.09,19.44,0,0.0,31.78
9348,28.4678036,76.9712383,4,18,0.33,0.0,0.33,31.06,10.93,41.99,0,0.0,57.67999999999999
39449,28.694178,77.2025593,26,13,19.71,5.55,25.26,5.55,16.49,22.04,0,0.0,52.7
15803,28.5163124,77.0306039,25,6,6.27,9.9,16.17,4.44,23.42,27.86,0,0.0,55.970000000000006
32431,28.642076,76.965097,88,0,31.05,0.0,31.05,0.07,18.39,18.46,0,0.0,50.49
39879,28.6977712,77.1083932,26,9,33.73,6.69,40.42,7.3,13.48,20.78,0,0.0,38.8
46553,28.7480767,77.1288641,66,8,25.28,5.28,30.56,3.14,14.89,18.03,0,0.0,51.41
23233,28.5720077,77.1370525,18,2,7.76,1.1,8.86,22.49,13.47,35.96,0,0.0,55.18
4367,28.4300745,77.0060388,26,11,8.19,14.61,22.8,13.71,15.66,29.37,0,0.0,47.83
48057,28.7588564,77.2844428,61,15,21.3,4.07,25.37,10.91,13.9,24.81,0,0.0,49.82
3463,28.422888,77.104299,28,10,6.59,21.46,28.05,4.02,20.41,24.43,0,0.0,47.52
23062,28.5702111,77.2742074,28,7,31.43,4.1,35.53,0.13,15.34,15.47,0,0.0,49.0
10804,28.4785833,77.0285568,87,14,25.27,2.97,28.24,0.04,11.79,11.83,0,0.0,59.93
38431,28.6869915,77.0674515,168,6,27.98,1.26,29.24,0.15,11.05,11.2,0,0.0,59.56
11054,28.4803799,77.0531218,106,10,23.91,2.37,26.28,0.0,11.66,11.66,0,0.0,62.06
35351,28.6636354,77.0961107,31,5,30.59,2.57,33.16,0.36,16.35,16.71,0,0.0,50.13
18708,28.5378719,77.1309112,20,8,12.03,6.88,18.91,0.47,20.89,21.36,0,0.0,59.73
57001,28.8271281,77.079734,42,27,21.97,0.0,21.97,0.0,17.47,17.47,0,0.0,60.56
42026,28.7139408,77.1186287,25,7,27.5,3.96,31.46,4.26,17.7,21.96,0,0.0,46.58
32504,28.642076,77.1145345,46,9,40.17,6.98,47.150000000000006,0.35,14.33,14.68,0,0.0,38.17
6508,28.4462441,77.0039917,56,1,32.05,0.0,32.05,0.81,17.84,18.65,0,0.0,49.3
33991,28.6528557,77.2353127,21,28,6.3,21.05,27.35,1.14,9.77,10.91,0,0.0,61.74
20850,28.5540415,77.1309112,7,0,1.35,0.0,1.35,24.75,15.42,40.17,0,0.0,58.48
3934,28.4264813,77.0940636,71,16,28.29,6.59,34.879999999999995,0.45,13.21,13.66,0,0.0,51.46
11267,28.4821766,77.0019446,55,9,19.62,5.7,25.32,0.0,18.2,18.2,0,0.0,56.48
20926,28.5540415,77.2864899,66,14,25.12,6.09,31.21,0.1,12.88,12.98,0,0.0,55.81
40391,28.7013645,77.1820884,16,12,11.78,17.16,28.94,9.24,12.48,21.72,0,0.0,49.34
41278,28.708551,77.0490277,67,7,26.26,2.44,28.700000000000003,1.33,12.59,13.92,0,0.0,57.38
23052,28.5702111,77.2537365,35,16,21.52,8.03,29.55,5.99,13.4,19.39,0,0.0,51.06
27908,28.6079401,76.9630499,99,5,37.94,2.12,40.06,1.95,14.89,16.84,0,0.0,43.1
46145,28.7444834,77.2680661,136,7,30.29,3.62,33.91,0.0,15.44,15.44,0,0.0,50.650000000000006
