grid_id,latitude,longitude,building_count,yellow_building_count,building_density,yellow_building_density,total_building_density,main_road_density,local_road_density,total_road_density,waterbody,water_percent,empty,building_density_norm,yellow_building_density_norm,total_building_density_norm,local_road_density_norm,total_road_density_norm,empty_norm,water_percent_norm,grid_score_raw,grid_score,grid_segment,grid_score_pca,grid_score_entropy,kmeans_cluster,grid_segment_kmeans
13257,28.4965495,77.1779942,34,2,10.66,0.33,10.99,0.0,9.46,9.46,0,0.0,79.55,0.21074898925496477,0.018981880931837797,0.1823461091753775,0.46736821303295306,0.3394148144161599,0.7279554086322608,0.0,0.09089685432335516,28.58,neutral,25.35,6.49,0,bad
21389,28.5576347,77.2598778,27,7,30.27,8.77,39.04,0.04,10.54,10.58,0,0.0,50.38,0.5984401411583287,0.5044578659764166,0.6477517836402855,0.5207252606096537,0.37959923219058894,0.33990940715563744,0.0,0.42882038343194945,62.32,neutral,53.83,16.38,1,good
61696,28.8630605,76.9466732,0,0,0.0,0.0,0.0,0.0,2.68,2.68,0,0.0,97.32,0.0,0.0,0.0,0.13240452546810932,0.09615557110309815,0.9643481904711226,0.0,-0.07176636167174096,12.34,bad,4.47,0.92,0,bad
61845,28.8630605,77.2516894,1,0,0.03,0.0,0.03,0.0,2.1,2.1,0,0.0,97.87,0.0005931022211678183,0.0,0.0004977600796416128,0.10374981473247372,0.07534578332705452,0.9716647931729446,0.0,-0.07763866637781457,11.76,bad,3.53,0.73,0,bad
53224,28.7983821,77.1431937,7,4,3.3,0.47,3.77,13.2,9.7,22.9,0,0.0,73.33,0.06524124432846001,0.02703480011504171,0.06255185000829601,0.47922533471666423,0.8216278277093088,0.6452112835316576,0.0,0.07911999935725642,27.41,neutral,30.2,6.03,0,bad
11529,28.4839732,77.0510747,38,3,8.49,0.89,9.38,16.23,12.64,28.87,0,0.0,61.75,0.16784792859049258,0.05119355766465345,0.15563298490127764,0.6244750753421275,1.0,0.4911635393732997,0.0,0.16743825530113612,36.22,neutral,42.51,9.08,1,good
22229,28.5648212,77.0306039,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,9.52,bad,0.0,0.0,0,bad
8506,28.4606171,77.196418,17,0,9.51,0.0,9.51,1.16,11.07,12.23,0,0.0,78.25999999999999,0.1880134041101984,0.0,0.15778994524639126,0.5469097376611829,0.4387994905189889,0.7107946495679877,0.0,0.09567931577051685,29.06,neutral,27.6,6.69,0,bad
24456,28.5809908,77.2046064,14,0,8.25,0.0,8.25,0.06,3.42,3.48,0,0.0,88.27,0.16310311082115003,0.0,0.13688402190144353,0.16896398399288576,0.12485872665626177,0.8439568187411451,0.0,0.0016560319530632972,19.67,bad,12.87,3.57,0,bad
40519,28.7031611,76.9569087,31,3,2.98,0.0,2.98,0.0,5.77,5.77,0,0.0,91.25,0.058914820636003284,0.0,0.04944416791106687,0.285064967145892,0.20702150942719263,0.8835995024710163,0.0,-0.015576007753750704,17.95,bad,12.19,2.84,0,bad
20131,28.5486516,77.1206758,1,0,13.54,0.0,13.54,9.7,17.46,27.16,0,0.0,59.3,0.2676868024870753,0.0,0.22465571594491457,0.8626056024899957,0.974472131029905,0.4585714000651842,0.0,0.2216445791347365,41.63,neutral,48.61,11.04,1,good
52331,28.7911956,77.2639719,4,3,0.18,0.0,0.18,0.0,1.51,1.51,0,0.0,98.31,0.00355861332700691,0.0,0.002986560477849677,0.07460105726001681,0.05417720610659634,0.977518075334402,0.0,-0.08266447925957117,11.25,bad,2.67,0.57,0,bad
26625,28.5971604,77.2598778,22,0,2.09,0.0,2.09,0.0,8.34,8.34,0,0.0,89.57,0.04131945474135801,0.0,0.03467728554836569,0.41203497850896703,0.2992303966417308,0.8612506069454513,0.0,0.004439298154062535,19.95,bad,15.7,3.47,0,bad
60831,28.855874,77.1247699,20,8,4.7,2.91,7.61,20.46,7.82,28.28,1,5.89,58.22,0.0929193479829582,0.16738567730802423,0.12626514020242247,0.3863445481942593,1.0,0.4442042529416068,1.0,0.049603311143367274,24.46,bad,37.79,14.7,1,good
2513,28.4157015,77.1083932,44,5,6.8,0.0,6.8,0.0,9.43,9.43,1,5.86,77.91,0.13443650346470548,0.0,0.11282561805209891,0.46588607282248906,0.33833844608291624,0.7061386296668284,1.0,-0.03892234206777742,15.62,bad,22.44,12.13,0,bad
11404,28.4821766,77.2823957,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,19.08,80.92,0.0,0.0,0.0,0.0,0.0,0.7461804008167989,1.0,-0.17461804008167991,2.07,bad,2.76,22.55,0,bad
